,EnsemblTranscriptID,chr,pos,strand
102,ENST00000025469,chr1,"[(150122107, 150122447)]",+
103,ENST00000026218,chr16,"[(620017, 620096), (624065, 624074)]",+
104,ENST00000027335,chr8,"[(95206913, 95206933), (95220710, 95220815)]",-
105,ENST00000029410,chr5,"[(177027100, 177027211)]",+
106,ENST00000031135,chr6,"[(136589350, 136589477), (136590278, 136590348)]",-
107,ENST00000031146,chr14,"[(69865408, 69866086)]",+
108,ENST00000033079,chr5,"[(137354800, 137354835), (137356719, 137356886), (137368470, 137368720)]",-
109,ENST00000034275,chr19,"[(5978093, 5978097)]",-
110,ENST00000035307,chr7,"[(150929584, 150931097)]",+
111,ENST00000035383,chr1,"[(70225857, 70225887)]",+
112,ENST00000037243,chr16,"[(75600248, 75600384)]",+
113,ENST00000037502,chr1,"[(171621751, 171621823)]",-
114,ENST00000037869,chr2,"[(70529143, 70529222)]",-
115,ENST00000038176,chr8,"[(59572190, 59572403)]",-
116,ENST00000039007,chrX,"[(38211797, 38211949)]",+
117,ENST00000039989,chr11,"[(43380490, 43380504)]",+
118,ENST00000040584,chr12,"[(54402831, 54403068)]",+
119,ENST00000040663,chr19,"[(13875362, 13875402)]",+
120,ENST00000040738,chr4,"[(13629211, 13629347)]",-
121,ENST00000042381,chr16,"[(67562772, 67562817), (67572326, 67572349)]",+
122,ENST00000043402,chr22,"[(20255615, 20256054)]",-
123,ENST00000044462,chr15,"[(78832754, 78832881), (78834246, 78834269)]",+
124,ENST00000045083,chr20,"[(49247384, 49247393), (49253117, 49253426)]",-
125,ENST00000046087,chr7,"[(50132790, 50132860)]",-
126,ENST00000046640,chr17,"[(3539761, 3540125), (3540400, 3540610), (3543481, 3543500)]",+
127,ENST00000046794,chr5,"[(169724615, 169725231)]",-
128,ENST00000050961,chr8,"[(77593514, 77593855), (77616277, 77616323)]",+
129,ENST00000052569,chr6,"[(117923451, 117923691)]",-
130,ENST00000052754,chr12,"[(91572329, 91572362), (91576431, 91576900)]",-
131,ENST00000053243,chr16,"[(12058963, 12059181)]",+
132,ENST00000053468,chr6,"[(42185587, 42185603)]",-
133,ENST00000053469,chr6,"[(42123173, 42123331), (42130657, 42130833), (42141070, 42141351)]",+
134,ENST00000053867,chr17,"[(42422647, 42422702), (42426525, 42426532)]",+
135,ENST00000054650,chr1,"[(6684925, 6685014), (6685209, 6685278)]",+
136,ENST00000054666,chr1,"[(7831328, 7831443)]",+
137,ENST00000054950,chr11,"[(32112449, 32112742)]",+
138,ENST00000055077,chr7,"[(73668713, 73668774)]",-
139,ENST00000055335,chrX,"[(49126316, 49126332)]",+
140,ENST00000055682,chrX,"[(73965485, 73965532), (74144717, 74145282)]",-
141,ENST00000056217,chr7,"[(144052432, 144052594), (144059750, 144059762)]",+
142,ENST00000056233,chr7,"[(26191859, 26192118)]",+
143,ENST00000057513,chr4,"[(122085280, 122085495)]",-
144,ENST00000060969,chr1,"[(115323228, 115323298)]",-
145,ENST00000061240,chr4,"[(166794409, 166795056)]",+
146,ENST00000062104,chr20,"[(36149616, 36149733)]",+
147,ENST00000064571,chr20,"[(54579227, 54580528)]",-
148,ENST00000064724,chr3,"[(170136652, 170136854)]",+
149,ENST00000064778,chr11,"[(73179519, 73179537), (73308967, 73309234)]",-
150,ENST00000064780,chr11,"[(73087308, 73087544), (73100156, 73100181)]",+
151,ENST00000066544,chr17,"[(45266538, 45266632)]",-
152,ENST00000070846,chr12,"[(33049665, 33049690)]",-
153,ENST00000072516,chr3,"[(190231839, 190232008), (190282077, 190282078)]",+
154,ENST00000072644,chr1,"[(54354610, 54354659), (54354916, 54355136), (54355385, 54355453)]",-
155,ENST00000072869,chr7,"[(140372952, 140373130)]",+
156,ENST00000074304,chr2,"[(99061320, 99061548), (99135426, 99135488), (99136408, 99136511)]",+
157,ENST00000075120,chr12,"[(8088630, 8088871)]",-
158,ENST00000075322,chr8,"[(120651020, 120651079)]",-
159,ENST00000075430,chr18,"[(77439845, 77439947)]",+
160,ENST00000075503,chr12,"[(10787217, 10787285), (10789669, 10789795), (10826564, 10826891)]",-
161,ENST00000078429,chr19,"[(3094407, 3094649)]",+
162,ENST00000078445,chr19,"[(4153597, 4153744)]",+
163,ENST00000078527,chr1,"[(27114485, 27114759), (27117249, 27117306)]",+
164,ENST00000081029,chr12,"[(27863705, 27863776)]",+
165,ENST00000082259,chr17,"[(7623038, 7623052)]",+
166,ENST00000083182,chr17,"[(58603292, 58603580)]",-
167,ENST00000084798,chr19,"[(49148889, 49149569)]",-
168,ENST00000085068,chr19,"[(55967853, 55967856), (55972878, 55973012)]",-
169,ENST00000085079,chr19,"[(56186610, 56186801), (56189892, 56189993)]",+
170,ENST00000085219,chr19,"[(35820089, 35820133), (35822921, 35822943)]",+
171,ENST00000155093,chrY,"[(2803517, 2803810), (2821949, 2821977)]",+
172,ENST00000155674,chr22,"[(17646134, 17646177)]",-
173,ENST00000155840,chr11,"[(2466220, 2466328)]",+
174,ENST00000155858,chr11,"[(2444266, 2444275)]",-
175,ENST00000155926,chr2,"[(12857014, 12858433)]",+
176,ENST00000156084,chrX,"[(48814832, 48814893)]",-
177,ENST00000156109,chrX,"[(48980072, 48980151)]",-
178,ENST00000156471,chr15,"[(35261814, 35262040)]",-
179,ENST00000156499,chr19,"[(51586004, 51586113), (51587392, 51587502)]",-
180,ENST00000156626,chr17,"[(74639720, 74639920)]",-
181,ENST00000156825,chr19,"[(1592630, 1592652)]",-
182,ENST00000157600,chr3,"[(8543392, 8543624)]",+
183,ENST00000157812,chr19,"[(40476911, 40477109)]",+
184,ENST00000158009,chr17,"[(33448597, 33448712)]",+
185,ENST00000158149,chr17,"[(3725302, 3725346), (3727353, 3727386), (3728235, 3728344), (3729060, 3729137), (3729380, 3729509), (3732536, 3732662), (3743393, 3743499), (3746379, 3746445), (3749334, 3749540)]",-
186,ENST00000158166,chr17,"[(3788981, 3789024), (3796232, 3796338)]",-
187,ENST00000158762,chr17,"[(7239847, 7240053)]",+
188,ENST00000158771,chr17,"[(5389481, 5389537)]",-
189,ENST00000159060,chr6,"[(155776934, 155777037)]",-
190,ENST00000159087,chr19,"[(17445479, 17445638)]",-
191,ENST00000159111,chr19,"[(4969131, 4969241), (5016267, 5016350), (5032876, 5032901)]",+
192,ENST00000160262,chr19,"[(10450290, 10450499)]",-
193,ENST00000160298,chr19,"[(7660787, 7660888)]",+
194,ENST00000160373,chr7,"[(117513469, 117513561)]",-
195,ENST00000160382,chr7,"[(100253977, 100254084)]",-
196,ENST00000160740,chr19,"[(42788171, 42788856)]",+
197,ENST00000160827,chr16,"[(29802040, 29802080)]",+
198,ENST00000161006,chr16,"[(2908105, 2908171)]",-
199,ENST00000161559,chr19,"[(43032526, 43032661)]",-
200,ENST00000161863,chr5,"[(112849379, 112849592)]",+
201,ENST00000162023,chr19,"[(19261544, 19261573), (19291494, 19291570), (19293381, 19293492), (19296842, 19296907), (19297701, 19297814), (19302889, 19302967)]",-
202,ENST00000162044,chr19,"[(19249237, 19249302)]",-
203,ENST00000162330,chr16,"[(75285380, 75285507)]",-
204,ENST00000162391,chr12,"[(8185298, 8186429), (8192414, 8192428)]",+
205,ENST00000162749,chr12,"[(6450980, 6451280)]",-
206,ENST00000163416,chr14,"[(93260575, 93260801), (93263752, 93263782)]",+
207,ENST00000164024,chr3,"[(48700067, 48700348)]",-
208,ENST00000164133,chr11,"[(64692142, 64692500), (64692942, 64693206)]",+
209,ENST00000164139,chr11,"[(64527370, 64527769)]",-
210,ENST00000164227,chr19,"[(45251803, 45252047)]",+
211,ENST00000164247,chr1,"[(6094342, 6094854), (6100576, 6100628)]",+
212,ENST00000164305,chr15,"[(55611157, 55611448)]",+
213,ENST00000164640,chrX,"[(153095753, 153095945)]",-
214,ENST00000165698,chr2,"[(86564633, 86564777)]",-
215,ENST00000166139,chr19,"[(676391, 676423)]",+
216,ENST00000166244,chr1,"[(22890056, 22890128)]",+
217,ENST00000166345,chr5,"[(892757, 893113)]",+
218,ENST00000166534,chr5,"[(131554319, 131554337), (131562778, 131562914), (131563482, 131563550)]",-
219,ENST00000167106,chr14,"[(77228531, 77229164)]",+
220,ENST00000167462,chr17,"[(73521806, 73521906), (73539477, 73539507)]",+
221,ENST00000167586,chr17,"[(39743086, 39743173)]",-
222,ENST00000167588,chr17,"[(39041437, 39041479)]",-
223,ENST00000168148,chr2,"[(234959342, 234959430)]",+
224,ENST00000168216,chrX,"[(53461292, 53461320)]",-
225,ENST00000168712,chr11,"[(69589852, 69590171)]",-
226,ENST00000168977,chr19,"[(3933100, 3933176), (3933455, 3933669)]",+
227,ENST00000169293,chr3,"[(187009420, 187009745)]",-
228,ENST00000169298,chr3,"[(186648273, 186648623), (186681572, 186681714), (186756529, 186756661), (186760441, 186760491)]",+
229,ENST00000169551,chr18,"[(71815745, 71816043)]",+
230,ENST00000170150,chr20,"[(31595405, 31595566), (31596346, 31596380)]",+
231,ENST00000170168,chr19,"[(1848357, 1848452)]",-
232,ENST00000170447,chr3,"[(12598512, 12598649)]",+
233,ENST00000170564,chr19,"[(33571785, 33572099)]",+
234,ENST00000170630,chr16,"[(27351503, 27351524)]",+
235,ENST00000171000,chr12,"[(48151741, 48151861), (48152333, 48152861)]",-
236,ENST00000171111,chr19,"[(10610709, 10610756), (10613916, 10614417)]",-
237,ENST00000171214,chr19,"[(10123924, 10124173)]",+
238,ENST00000171757,chrX,"[(78200917, 78200992), (78203311, 78203360), (78207689, 78207832), (78216004, 78216017)]",+
239,ENST00000171887,chr2,"[(218762688, 218762692), (218765185, 218765235), (218771057, 218771108), (218771932, 218771974), (218784917, 218784959), (218808587, 218808851)]",-
240,ENST00000172229,chr17,"[(47572654, 47572779)]",+
241,ENST00000172853,chr2,"[(152589670, 152589699), (152590225, 152590309), (152590911, 152590946)]",-
242,ENST00000173229,chr17,"[(8924858, 8924902), (8925627, 8925690)]",+
243,ENST00000173527,chr5,"[(128430443, 128430459)]",+
244,ENST00000173898,chrX,"[(54947243, 54947311), (54948635, 54948679)]",+
245,ENST00000174618,chr17,"[(2304006, 2304412)]",-
246,ENST00000174621,chr17,"[(3495568, 3495677), (3500211, 3500392)]",-
247,ENST00000174653,chr8,"[(42010463, 42010623), (42012083, 42012205)]",+
248,ENST00000175091,chr2,"[(20251281, 20251789)]",-
249,ENST00000175238,chr8,"[(24298538, 24298621)]",+
250,ENST00000175506,chr7,"[(97498468, 97498491), (97499089, 97499125), (97501030, 97501308), (97501662, 97501854)]",-
251,ENST00000175756,chr2,"[(131113579, 131113680)]",+
252,ENST00000176183,chr11,"[(637292, 637304)]",+
253,ENST00000176643,chr17,"[(19551838, 19552284)]",+
254,ENST00000176763,chr5,"[(171615046, 171615390)]",-
255,ENST00000177648,chr4,"[(113218525, 113218625), (113236956, 113237008), (113298885, 113298933)]",+
256,ENST00000177694,chr17,"[(45810609, 45810820)]",+
257,ENST00000177742,chr16,"[(1823120, 1823151)]",-
258,ENST00000178638,chr15,"[(63673919, 63674360)]",-
259,ENST00000178640,chr15,"[(67835046, 67835673)]",+
260,ENST00000179259,chr12,"[(4430370, 4430437)]",+
261,ENST00000179765,chr12,"[(57011314, 57011316), (57029965, 57030163)]",-
262,ENST00000179882,chr6,"[(147527109, 147527204), (147556385, 147556467), (147560305, 147560406), (147581750, 147581885), (147583425, 147583489), (147586249, 147586344), (147588219, 147588303), (147599216, 147599340), (147612229, 147612308), (147631219, 147631289)]",+
263,ENST00000180166,chr8,"[(16859541, 16859690)]",-
264,ENST00000180173,chr8,"[(17270801, 17270836)]",-
265,ENST00000181383,chr13,"[(46679144, 46679161)]",-
266,ENST00000181796,chr10,"[(14816662, 14816896)]",-
267,ENST00000181839,chr7,"[(39989635, 39990240)]",+
268,ENST00000182096,chr3,"[(97595818, 97595882)]",+
269,ENST00000182290,chr11,"[(2323242, 2323379)]",+
270,ENST00000182377,chr12,"[(29376597, 29376827), (29423344, 29423382)]",+
271,ENST00000183605,chr3,"[(137728841, 137729067)]",+
272,ENST00000184183,chr3,"[(123699328, 123699451), (123700225, 123700271), (123710027, 123710199)]",-
273,ENST00000184266,chr3,"[(120315155, 120315206)]",+
274,ENST00000184956,chr17,"[(58156275, 58156292)]",-
275,ENST00000185150,chr2,"[(54014216, 54014347)]",+
276,ENST00000185206,chr6,"[(46047979, 46048132)]",-
277,ENST00000185907,chr10,"[(52499695, 52499743), (52502674, 52502770), (52504887, 52504890)]",+
278,ENST00000186436,chr2,"[(98612125, 98612354)]",-
279,ENST00000187397,chr3,"[(35683656, 35683900), (35721278, 35721452), (35723205, 35723243)]",+
280,ENST00000187608,chr19,"[(42082586, 42082626)]",+
281,ENST00000187762,chr19,"[(16771937, 16772028)]",+
282,ENST00000187879,chr19,"[(44529514, 44529630), (44530177, 44530223)]",+
283,ENST00000187910,chr19,"[(43421944, 43422010)]",-
284,ENST00000188312,chr12,"[(100593864, 100594629)]",+
285,ENST00000188376,chr12,"[(98987402, 98987756)]",+
286,ENST00000188403,chr12,"[(100897137, 100897165)]",+
287,ENST00000188790,chr2,"[(163099837, 163100045)]",-
288,ENST00000189444,chr10,"[(104155462, 104155553), (104155644, 104155716)]",+
289,ENST00000189978,chr9,"[(113431050, 113431184)]",+
290,ENST00000190165,chr9,"[(976963, 977001)]",+
291,ENST00000190611,chr2,"[(179059375, 179059401), (179149653, 179149848), (179170756, 179170911)]",+
292,ENST00000190983,chr20,"[(43343885, 43344031)]",+
293,ENST00000191018,chr20,"[(44519979, 44520064)]",+
294,ENST00000191063,chr10,"[(5931317, 5931869)]",-
295,ENST00000192314,chr2,"[(242716239, 242716370)]",+
296,ENST00000192788,chr6,"[(34759856, 34760027)]",+
297,ENST00000193029,chr14,"[(102699035, 102699045), (102700024, 102700126), (102717148, 102717327), (102718092, 102718141), (102718253, 102718332), (102729882, 102729953), (102732159, 102732249), (102749814, 102749929), (102771298, 102771531)]",-
298,ENST00000193322,chr6,"[(108395855, 108395941)]",-
299,ENST00000193391,chr3,"[(101039216, 101039404)]",-
300,ENST00000193403,chr14,"[(69445773, 69446157)]",-
301,ENST00000194097,chr5,"[(70308742, 70308745), (70316485, 70316737)]",-
302,ENST00000194118,chr5,"[(141303419, 141303506)]",+
303,ENST00000194130,chr7,"[(122840000, 122840040)]",-
304,ENST00000194155,chr5,"[(140474226, 140474374)]",+
305,ENST00000194214,chr1,"[(54405755, 54405770), (54411227, 54411602)]",-
306,ENST00000194530,chr2,"[(202316391, 202316661), (202319468, 202319563)]",+
307,ENST00000194871,chr2,"[(165698554, 165698678)]",-
308,ENST00000194900,chrX,"[(69664710, 69665051)]",+
309,ENST00000195173,chr3,"[(122680110, 122680148), (122746310, 122746576)]",-
310,ENST00000195455,chr4,"[(5526882, 5527057)]",+
311,ENST00000195649,chr6,"[(84417646, 84417676), (84418563, 84418847)]",-
312,ENST00000196061,chr1,"[(11994809, 11994836)]",+
313,ENST00000196169,chr13,"[(60970590, 60971144), (61013821, 61013906), (61018820, 61018882), (61034513, 61034600)]",+
314,ENST00000196371,chr5,"[(41870460, 41870621)]",-
315,ENST00000196482,chr19,"[(58978462, 58978550), (58980546, 58980552)]",+
316,ENST00000196489,chr19,"[(58090072, 58090295)]",-
317,ENST00000196548,chr19,"[(58790316, 58790447)]",+
318,ENST00000196551,chr19,"[(58898635, 58898706), (58899503, 58899504)]",+
319,ENST00000197268,chr12,"[(13197217, 13197337)]",+
320,ENST00000198536,chr7,"[(99971067, 99971279)]",+
321,ENST00000198765,chr8,"[(87497058, 87497096), (87540753, 87540773)]",+
322,ENST00000198767,chr16,"[(15188090, 15188174)]",-
323,ENST00000198801,chr11,"[(75428863, 75428933)]",+
324,ENST00000198939,chr19,"[(16653189, 16653226)]",-
325,ENST00000199280,chr12,"[(50344528, 50344613)]",+
326,ENST00000199320,chr5,"[(61699599, 61699760)]",-
327,ENST00000199389,chr7,"[(6098714, 6098861)]",-
328,ENST00000199447,chr7,"[(37888198, 37888330), (37888425, 37888658), (37889861, 37889868)]",+
329,ENST00000199448,chr7,"[(37960162, 37960541)]",+
330,ENST00000199706,chr16,"[(420218, 420225), (420498, 420527)]",-
331,ENST00000199708,chr16,"[(230451, 230485)]",+
332,ENST00000199764,chr19,"[(42259328, 42259546)]",+
333,ENST00000199814,chr5,"[(150080547, 150080669)]",-
334,ENST00000199936,chr16,"[(82068836, 82069029)]",+
335,ENST00000199940,chr2,"[(210288781, 210289000), (210372315, 210372365), (210444759, 210444824), (210489776, 210489853), (210517865, 210517894)]",+
336,ENST00000200135,chr11,"[(113644388, 113644533)]",-
337,ENST00000200181,chr17,"[(73717515, 73717692), (73720773, 73720783)]",+
338,ENST00000200307,chr17,"[(32597240, 32597279)]",+
339,ENST00000200453,chr19,"[(49375648, 49375908), (49376481, 49376490)]",+
340,ENST00000200457,chr7,"[(100464759, 100465119)]",+
341,ENST00000200557,chr17,"[(42836398, 42836567)]",+
342,ENST00000200639,chrX,"[(119603024, 119603161)]",-
343,ENST00000200652,chr5,"[(131630135, 131630309)]",+
344,ENST00000200676,chr16,"[(56995761, 56995891)]",+
345,ENST00000200691,chr16,"[(56623279, 56623502)]",+
346,ENST00000201015,chr12,"[(28122427, 28122449), (28122957, 28123200), (28124859, 28124916)]",-
347,ENST00000201031,chr20,"[(55204357, 55204600)]",+
348,ENST00000201586,chr19,"[(49055331, 49055509)]",+
349,ENST00000201647,chr19,"[(55587268, 55587287), (55587775, 55587812)]",+
350,ENST00000201943,chr2,"[(152955525, 152955537)]",-
351,ENST00000201961,chr20,"[(31172410, 31172630)]",-
352,ENST00000201963,chr20,"[(31367657, 31367921)]",+
353,ENST00000201979,chr20,"[(30063095, 30063169), (30064029, 30064248)]",+
354,ENST00000202017,chr20,"[(30539764, 30539895)]",-
355,ENST00000202028,chr20,"[(34679425, 34679534), (34700347, 34700402), (34763472, 34763481)]",+
356,ENST00000202556,chr14,"[(104313644, 104313927)]",-
357,ENST00000202625,chr20,"[(2361553, 2361614)]",+
358,ENST00000202677,chr20,"[(20693123, 20693131)]",-
359,ENST00000202773,chr12,"[(112847390, 112847445)]",-
360,ENST00000202816,chr20,"[(13763786, 13763829), (13765467, 13765532)]",-
361,ENST00000202831,chr12,"[(113770683, 113770765), (113772797, 113772925)]",-
362,ENST00000202834,chr20,"[(5090076, 5090091), (5093606, 5093749)]",-
363,ENST00000202917,chr12,"[(113344581, 113344844)]",+
364,ENST00000202967,chr12,"[(120740123, 120740181), (120741363, 120741364)]",+
365,ENST00000203001,chr20,"[(5931051, 5931182)]",-
366,ENST00000203166,chr19,"[(36103671, 36103696)]",+
367,ENST00000203407,chr3,"[(48647053, 48647470)]",-
368,ENST00000203556,chr19,"[(19754338, 19754476)]",-
369,ENST00000203616,chrX,"[(106362003, 106362057)]",-
370,ENST00000203629,chr12,"[(6881685, 6882018)]",+
371,ENST00000203630,chr12,"[(6861500, 6861528), (6862104, 6862721)]",-
372,ENST00000203664,chr14,"[(94492674, 94492883)]",+
373,ENST00000204307,chr7,"[(140396509, 140396642), (140397874, 140398000)]",+
374,ENST00000204517,chr16,"[(4322747, 4323076)]",-
375,ENST00000204549,chr15,"[(65426119, 65426174)]",-
376,ENST00000204566,chr15,"[(65275907, 65275931), (65282002, 65282274)]",-
377,ENST00000204604,chr3,"[(184097860, 184098106)]",+
378,ENST00000204615,chr3,"[(184094047, 184094192), (184095862, 184095932)]",-
379,ENST00000204637,chr19,"[(49977492, 49977538), (49977859, 49977929), (49978930, 49979058), (49979401, 49979455), (49979679, 49979727)]",+
380,ENST00000204679,chr16,"[(1401923, 1401966)]",+
381,ENST00000204726,chr12,"[(133398714, 133398897), (133404912, 133405288)]",-
382,ENST00000204961,chrX,"[(68048839, 68049619)]",+
383,ENST00000205061,chr16,"[(74640992, 74641012)]",-
384,ENST00000205143,chr19,"[(39989607, 39989614)]",+
385,ENST00000205194,chr19,"[(55996370, 55996625), (55997027, 55997075)]",+
386,ENST00000205214,chr4,"[(57250465, 57250507), (57253527, 57253666)]",-
387,ENST00000205386,chr7,"[(107763609, 107763639), (107770750, 107770800)]",-
388,ENST00000205402,chr7,"[(107531414, 107531695)]",+
389,ENST00000205557,chr16,"[(16317291, 16317321)]",-
390,ENST00000205636,chr3,"[(32544237, 32544900)]",-
391,ENST00000205890,chr17,"[(18012019, 18012138), (18021895, 18022114)]",+
392,ENST00000205948,chr17,"[(64225497, 64225535)]",-
393,ENST00000206020,chr17,"[(4871099, 4871167)]",-
394,ENST00000206249,chr6,"[(152128685, 152129047)]",+
395,ENST00000206262,chr6,"[(153365153, 153365178), (153452258, 153452384)]",-
